Cluster_ID,Size,Centroid_X,Centroid_Y,Hull_Area
12,5,634601.7498650396,2487138.665563001,101.78281560270807
18,5,643922.773729419,2488519.494470472,79.27360663836382
20,5,635512.4855953264,2488682.9619045667,1673.0247467918193
25,5,642388.864846362,2489069.575394744,3858.8725408214455
32,5,641170.4040652114,2489323.179251257,10821.17912496296
45,5,639451.0315507605,2490796.18686086,820.8456698155569
46,5,640008.3011210838,2490896.3749052277,57.486774849879794
48,5,642294.0608515104,2490991.5477047227,
51,5,640936.9582185028,2491156.2706467924,13.57048722203001
55,5,634343.3132740383,2491567.5972562456,
57,5,636358.8936239502,2491799.4597307052,422.4937957482868
59,5,638149.1862816955,2492299.862544339,5.494922042416377
67,5,634303.955355631,2492991.4850255987,551.5511139890867
71,5,641413.1852324856,2493142.4886171,
73,5,643781.2834722205,2493294.1669294466,
87,5,637149.7729560884,2493926.891899742,163.7023390729414
91,5,631886.7065834827,2494222.2283237395,90.29254078689556
93,5,644603.615099749,2494656.3071506256,122.05344243921525
94,5,642370.5646446705,2494789.3553811247,2184.6255477408654
95,5,643306.0616690245,2494828.8422399107,4.252242135630873
102,5,643570.1999171566,2495805.5354812085,6103.905183669294
138,5,641676.9184039513,2503086.758552917,1022.8016971565512
